ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
64,2,1.184e+06,1.241e+05,nan,nan,nan,nan,12.94,0.179,nan,nan,nan,nan,46.64,30.6,53.79,20.67,1.507e+04,844.7,nan,nan,nan,nan,nan,nan,nan,nan,2.104e+05,2.262e+04,12.54,0.1671,2.038e+53,1.494,309.1
65,1,2.312e+06,2.329e+05,1.184e+05,1.354e+04,4.483e+04,8207,12.61,0.1788,12.07,0.1886,12.48,0.2259,27.15,41.14,45.54,17.82,7395,556.8,nan,nan,nan,nan,nan,nan,nan,nan,4.28e+05,4.327e+04,12.59,0.1773,1.688e+54,21$
66,1,6.905e+06,6.942e+05,1.628e+05,2.282e+04,nan,nan,36.3,0.5227,36.24,0.8258,nan,nan,52.57,148.9,140.7,96.6,4.412e+04,2150,nan,nan,nan,nan,nan,nan,nan,nan,9.22e+05,9.361e+04,37.64,0.6064,1.123e+54,2.166,377.3
67,2,1.053e+06,1.069e+05,5.909e+04,7279,2.187e+04,5006,9.743,0.163,9.308,0.1384,9.629,0.1888,31.51,16.07,21.45,22.35,3202,288,nan,nan,nan,nan,nan,nan,nan,nan,1.984e+05,2.026e+04,9.421,0.1338,9.451e+53,28.27,2016
68,0,7.063e+04,1.147e+04,nan,nan,nan,nan,6.163,0.09861,nan,nan,nan,nan,15.98,12.66,nan,2.032,1774,249.6,nan,nan,nan,nan,nan,nan,nan,nan,1.108e+04,2309,6.035,0.08591,7.421e+51,0.9139,1115
69,0,1.249e+04,5365,nan,nan,nan,nan,2.42,0.03256,nan,nan,nan,nan,10.49,16.4,nan,2.686,1014,144,nan,nan,nan,nan,nan,nan,nan,nan,2877,1205,2.456,0.0351,4.531e+51,1.672,360.1
70,2,6.214e+04,1.059e+04,nan,nan,nan,nan,3.786,0.0669,nan,nan,nan,nan,18.96,14.21,nan,2.656,1889,192,nan,nan,nan,nan,nan,nan,nan,nan,8723,2111,3.633,0.05431,1.241e+52,1.696,341.1
71,1,4.989e+06,5.025e+05,1.157e+05,1.768e+04,nan,nan,25.76,0.3412,20.06,0.3372,nan,nan,34.68,116.8,99.11,54.32,3.11e+04,1354,nan,nan,nan,nan,nan,nan,nan,nan,6.491e+05,6.63e+04,27.07,0.4233,5.682e+53,1.575,375.2
72,0,6.892e+06,6.943e+05,1.481e+05,2.196e+04,nan,nan,20.28,0.3974,20.67,0.7641,nan,nan,106.6,159,209.5,38.06,7.379e+04,3149,3192,6985,1.821,0.6019,1.19e+04,1.812e+04,3.288,0.2665,1.321e+06,1.334e+05,18.99,0.265$
73,2,5.085e+05,5.262e+04,2.391e+04,3942,9949,3425,8.273,0.1273,8.203,0.1481,7.737,0.1786,13.73,28.72,12.81,6.999,2373,259.2,nan,nan,nan,nan,nan,nan,nan,nan,9.866e+04,1.032e+04,8.166,0.1195,1.409e+53,7.75,1916
74,1,2.526e+06,2.568e+05,2.028e+04,8622,nan,nan,15.22,0.2918,12.63,0.7936,nan,nan,87.23,20.69,62.38,55.21,2.352e+04,1171,nan,nan,nan,nan,nan,nan,nan,nan,4.229e+05,4.353e+04,14.8,0.2279,1.859e+53,0.8866,1507
75,1,7.916e+05,8.304e+04,8357,4843,nan,nan,13.4,0.2818,13.39,0.6091,nan,nan,66.3,21.8,54.23,37.74,8938,633.6,nan,nan,nan,nan,nan,nan,nan,nan,1.412e+05,1.52e+04,13.35,0.2241,5.571e+52,0.8894,1604
76,2,2.623e+05,2.9e+04,2803,2507,nan,nan,4.941,0.08421,4.095,0.1254,nan,nan,18.67,25.66,19.68,13.46,2511,249.6,nan,nan,nan,nan,nan,nan,nan,nan,3.767e+04,4678,4.679,0.0647,1.801e+52,1.183,1522
77,2,5.706e+05,6.08e+04,nan,nan,nan,nan,10.16,0.1688,nan,nan,nan,nan,23.01,18.43,15.57,10.26,7994,585.6,nan,nan,nan,nan,nan,nan,nan,nan,9.869e+04,1.093e+04,9.851,0.143,4.812e+52,1.097,1362
78,1,2.063e+06,2.097e+05,5.256e+04,9970,nan,nan,16.14,0.2821,15.39,0.3652,nan,nan,32.55,84.78,80.09,24.7,1.765e+04,911.9,nan,nan,nan,nan,nan,nan,nan,nan,2.675e+05,2.804e+04,16.18,0.2605,1.948e+53,1.391,371.7
79,1,3.164e+06,3.217e+05,1.099e+05,1.61e+04,nan,nan,16.6,0.2086,20.42,0.6224,nan,nan,27.08,19.4,22.6,12.1,3.58e+04,1661,2.265e+04,5849,1.731,0.09396,8.125e+04,1.673e+04,6.394,0.1617,6.637e+05,6.764e+04,16.67,0.$
80,1,1.65e+06,1.698e+05,7.809e+04,1.15e+04,nan,nan,15.76,0.2156,14.67,0.4071,nan,nan,24.26,17.92,16.46,7.064,1.739e+04,739.1,2.372e+04,4312,4.339,0.0666,nan,nan,nan,nan,3.296e+05,3.417e+04,15.86,0.2154,1.445e+5$
81,2,9.851e+05,1.018e+05,2.709e+04,6369,nan,nan,13.75,0.186,12.99,0.2658,nan,nan,22.82,42.43,41,17.68,1.037e+04,748.7,nan,nan,nan,nan,nan,nan,nan,nan,1.286e+05,1.408e+04,14.68,0.2403,5.927e+52,0.9113,368.6
82,2,3.39e+05,3.695e+04,nan,nan,nan,nan,6.274,0.1047,nan,nan,nan,nan,29.66,22.16,29.31,7.402,4400,364.8,nan,nan,nan,nan,nan,nan,nan,nan,5.102e+04,6073,6.208,0.09957,1.605e+52,0.7474,1683
83,2,7.945e+05,8.394e+04,nan,nan,nan,nan,7.351,0.0793,nan,nan,nan,nan,53.27,27.85,55.15,18.35,8984,547.2,nan,nan,nan,nan,2.532e+04,7461,6.04,0.1784,1.789e+05,1.89e+04,7.453,0.08514,8.988e+52,1.231,1422
84,2,3.285e+05,3.609e+04,2.567e+04,4245,nan,nan,7.405,0.1091,6.421,0.09148,nan,nan,23.06,12.39,nan,15.57,3663,336,6541,1774,3.545,0.05568,nan,nan,nan,nan,6.453e+04,7273,7.4,0.1079,3.62e+53,16.24,1352
85,2,3.449e+05,3.888e+04,nan,nan,nan,nan,8.785,0.1557,nan,nan,nan,nan,35.37,19.44,30.65,19.7,4953,374.4,nan,nan,nan,nan,nan,nan,nan,nan,7.33e+04,8362,8.433,0.1276,2.53e+52,0.7896,1641
86,2,1.393e+06,1.431e+05,nan,nan,nan,nan,12.56,0.2138,nan,nan,nan,nan,28.24,58.31,58.94,20.31,1.05e+04,614.4,nan,nan,nan,nan,nan,nan,nan,nan,1.961e+05,2.095e+04,12.31,0.1814,3.967e+53,3.676,426.3
87,2,2.895e+05,3.226e+04,nan,nan,nan,nan,9.919,0.1932,nan,nan,nan,nan,15.43,21.02,nan,22.76,3801,345.6,nan,nan,nan,nan,nan,nan,nan,nan,3.911e+04,5049,9.609,0.1584,5.177e+52,2.565,380.6
88,2,1.569e+05,2.062e+04,nan,nan,nan,nan,7.911,0.1363,nan,nan,nan,nan,29.73,11.92,7.633,46.78,2142,240,nan,nan,nan,nan,nan,nan,nan,nan,2.326e+04,3795,7.592,0.1118,4.038e+52,2.27,408.9
89,0,1.826e+07,1.829e+06,6.623e+05,7.05e+04,2.541e+05,3.455e+04,47.65,0.5789,41.27,0.6081,0.3759,0.09297,90.28,60.07,116,47.64,4.23e+04,1200,nan,nan,nan,nan,nan,nan,nan,nan,2.303e+06,2.316e+05,49.81,0.7367,4.07$
